Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","Multidimensional poverty headcount ratio (UNDP & OPHI) (% of population)","SI.POV.MPUN","2021","YR2021","NA"
Afghanistan,"AFG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","2021","YR2021","NA"
Afghanistan,"AFG","Poverty gap at $8.30 a day (2021 PPP) (%)","SI.POV.UMIC.GP","2021","YR2021","NA"
Afghanistan,"AFG","Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%)","SH_UHC_FH40_PUSHED","2021","YR2021","NA"
Afghanistan,"AFG","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","SE.LPV.PRIM","2021","YR2021","NA"
Afghanistan,"AFG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","2021","YR2021","24.0335589"
Afghanistan,"AFG","Government Effectiveness - Governance score (0-100)","GOV_WGI_GE_SC","2021","YR2021","18.1708567"
Afghanistan,"AFG","Rule of Law - Governance score (0-100)","GOV_WGI_RL_SC","2021","YR2021","27.3576848"
Afghanistan,"AFG","CPIA social protection rating (1=low to 6=high)","IQ.CPA.PROT.XQ","2021","YR2021","NA"
Afghanistan,"AFG","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","IQ.CPA.SOCI.XQ","2021","YR2021","NA"
Afghanistan,"AFG","Control of Corruption - Governance score (0-100)","GOV_WGI_CC_SC","2021","YR2021","23.1191682"
Afghanistan,"AFG","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","IQ.CPA.TRAN.XQ","2021","YR2021","NA"
Afghanistan,"AFG","Net migration","SM.POP.NETM","2021","YR2021","-548784"
Afghanistan,"AFG","International migrant stock (% of population)","SM.POP.TOTL.ZS","2021","YR2021","NA"
Afghanistan,"AFG","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","2021","YR2021","2712869"
Afghanistan,"AFG","Forcibly displaced people","SM.POP.FDIP","2021","YR2021","4381200"
Afghanistan,"AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","2021","YR2021","NA"
Afghanistan,"AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","2021","YR2021","NA"
Afghanistan,"AFG","Social contributions (% of revenue)","GC.REV.SOCL.ZS","2021","YR2021","NA"
Afghanistan,"AFG","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","2021","YR2021","NA"
Afghanistan,"AFG","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","2021","YR2021","NA"
Afghanistan,"AFG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","2021","YR2021","4.0324584656778"
Afghanistan,"AFG","Battle-related deaths (number of people)","VC.BTL.DETH","2021","YR2021","35787"
Afghanistan,"AFG","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","2021","YR2021","723000"
Afghanistan,"AFG","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","2021","YR2021","25000"
Afghanistan,"AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","2021","YR2021","10.2681118083286"
Afghanistan,"AFG","Children in employment, total (% of children ages 7-14)","SL.TLF.0714.ZS","2021","YR2021","NA"
