Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","Multidimensional poverty headcount ratio (UNDP & OPHI) (% of population)","SI.POV.MPUN","2020","YR2020","NA"
Afghanistan,"AFG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","2020","YR2020","NA"
Afghanistan,"AFG","Poverty gap at $8.30 a day (2021 PPP) (%)","SI.POV.UMIC.GP","2020","YR2020","NA"
Afghanistan,"AFG","Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%)","SH_UHC_FH40_PUSHED","2020","YR2020","NA"
Afghanistan,"AFG","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","SE.LPV.PRIM","2020","YR2020","NA"
Afghanistan,"AFG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","2020","YR2020","21.6583487"
Afghanistan,"AFG","Government Effectiveness - Governance score (0-100)","GOV_WGI_GE_SC","2020","YR2020","17.960381"
Afghanistan,"AFG","Rule of Law - Governance score (0-100)","GOV_WGI_RL_SC","2020","YR2020","28.4695599"
Afghanistan,"AFG","CPIA social protection rating (1=low to 6=high)","IQ.CPA.PROT.XQ","2020","YR2020","2.5"
Afghanistan,"AFG","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","IQ.CPA.SOCI.XQ","2020","YR2020","2.7"
Afghanistan,"AFG","Control of Corruption - Governance score (0-100)","GOV_WGI_CC_SC","2020","YR2020","19.4986641"
Afghanistan,"AFG","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","IQ.CPA.TRAN.XQ","2020","YR2020","2"
Afghanistan,"AFG","Net migration","SM.POP.NETM","2020","YR2020","143634"
Afghanistan,"AFG","International migrant stock (% of population)","SM.POP.TOTL.ZS","2020","YR2020","0.4"
Afghanistan,"AFG","Refugees under the mandate of the UNHCR by country or territory of origin","SM.POP.RHCR.EO","2020","YR2020","2594827"
Afghanistan,"AFG","Forcibly displaced people","SM.POP.FDIP","2020","YR2020","3619445"
Afghanistan,"AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Social contributions (% of revenue)","GC.REV.SOCL.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","2020","YR2020","6.57810893906391"
Afghanistan,"AFG","Battle-related deaths (number of people)","VC.BTL.DETH","2020","YR2020","20475"
Afghanistan,"AFG","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","2020","YR2020","404000"
Afghanistan,"AFG","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","2020","YR2020","49000"
Afghanistan,"AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","2020","YR2020","4.97282537449934"
Afghanistan,"AFG","Children in employment, total (% of children ages 7-14)","SL.TLF.0714.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","2020","YR2020","82.6906955888445"
Afghanistan,"AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","2020","YR2020","36.71"
Afghanistan,"AFG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","2020","YR2020","45.9834093852142"
Afghanistan,"AFG","GDP per person employed (constant 2021 PPP $)","SL.GDP.PCAP.EM.KD","2020","YR2020","13526.9396374728"
Afghanistan,"AFG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","2020","YR2020","42.596"
Afghanistan,"AFG","Labor force with basic education (% of total working-age population with basic education)","SL.TLF.BASC.ZS","2020","YR2020","40.261"
Afghanistan,"AFG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","2020","YR2020","24.6801498127341"
Afghanistan,"AFG","Coverage of social protection and labor programs (% of population)","per_allsp.cov_pop_tot","2020","YR2020","NA"
Afghanistan,"AFG","Coverage of social safety net programs in poorest quintile (% of population)","per_sa_allsa.cov_q1_tot","2020","YR2020","NA"
Afghanistan,"AFG","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot","2020","YR2020","NA"
Afghanistan,"AFG","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","per_allsp.ben_q1_tot","2020","YR2020","NA"
